Event_ID,Event_Start,Event_Stop,event_hours
1,1/2/2019 6:00,1/3/2019 13:00,31
2,1/4/2019 3:00,1/4/2019 10:00,8
3,1/5/2019 6:00,1/5/2019 16:00,11
4,1/5/2019 21:00,1/6/2019 2:00,6
5,1/8/2019 17:00,1/10/2019 11:00,43
6,1/10/2019 19:00,1/11/2019 7:00,13
7,1/11/2019 16:00,1/17/2019 21:00,150
8,1/26/2019 22:00,1/27/2019 12:00,15
9,1/29/2019,2/2/2019 4:00,100
10,2/3/2019 14:00,2/5/2019 18:00,53
11,2/10/2019 1:00,2/11/2019 13:00,37
12,2/11/2019 22:00,2/12/2019 8:00,11
13,2/22/2019 2:00,2/22/2019 15:00,14
14,2/27/2019 7:00,2/28/2019 12:00,30
15,2/28/2019 22:00,3/1/2019 16:00,19
16,3/4/2019 5:00,3/6/2019 3:00,47
17,3/8/2019 1:00,3/8/2019 8:00,8
18,3/10/2019 3:00,3/10/2019 13:00,11
19,3/11/2019 1:00,3/11/2019 16:00,16
20,3/11/2019 20:00,3/12/2019 16:00,21
21,3/16/2019 4:00,3/16/2019 15:00,12
22,3/17/2019 1:00,3/17/2019 14:00,14
23,3/18/2019 1:00,3/18/2019 15:00,15
24,3/19/2019,3/19/2019 16:00,17
25,3/19/2019 20:00,3/22/2019 14:00,67
26,3/23/2019 2:00,3/23/2019 9:00,8
27,3/24/2019,3/24/2019 9:00,10
28,3/26/2019 1:00,3/26/2019 7:00,7
