Species,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
Acetaldehyde,0.391458585,0,0.00E+00,0,0,0,0.006598507
Acetic_Acid,0,0,0.00E+00,0.126751878,0.133757252,0.012431402,0.00624628
Acetone,0.029326995,0.018218851,0.13955086,0,0.323270627,0.519177184,0.067036025
Acetonitrile,0.0042884,0,0.00E+00,0.00049515,0.020458583,0.080583019,0.003093247
Benzene,0.006825212,0.082469584,1.15E-02,0.085860933,0,0.088516956,0.006621068
Butenes,0,0.198995743,0.087750306,0.065558653,0.024841441,0.086434042,0.013198894
C10_Aromatics,1.64E-03,0.029540608,1.52E-02,0.001697559,0,0.000490394,0
C8_Aromatics,0.003480818,0.147492814,0.004356665,0.009376358,0.003428557,0.003115602,0
C9_Aromatics,0,0.072791309,0.00E+00,0,0.002271463,0,0
D5_siloxane,0,0,0,0,0,0,0.844866516
Formaldehyde,0.527299204,0.040171575,0.022142356,0.24447106,0.228692835,0.046289145,0.01040232
Formic_Acid,0,0,0.00E+00,0.039396336,0.147998769,0,0.006533833
Furaldehydes,5.08E-10,0.000191896,0.00E+00,0.04946698,0.000771043,5.97E-07,0
Furan,0.000445872,0.000136861,0.002472019,0.037884695,0,0.001395887,0
Isoprene,0.004408875,0.031966184,0.036751373,0.022169969,0.013617712,0.006241653,0.001482608
MACR_MVK,0.000365697,0.004888755,0.001291832,0.034746086,0.006114907,0,0.000251682
MEK,0,0.003613976,0.010605749,0.031442611,0.02788983,0.062150272,0.017408328
Methylfurans,0.00E+00,0.000952018,2.88E-03,0.041068198,0.00039655,0,0.00010847
Methylfurfurals,3.62E-10,0,0.000217459,0.015566889,0,9.88E-05,5.20E-06
Monoterpenes,0.002955342,0,0.546553178,0.035736816,0.007502571,0,0.001623611
Propyne,0.023508304,0.2103968,0.078351361,0.127595567,0.058818632,0.071907593,0.01379581
Toluene,0.003995757,0.158173027,0.040368891,0.030714264,0.000169229,0.021167492,0.000727598
