Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
KMSO,2019-01-01T00:00:00Z,102776.85,-11,,61.12,1.54,330,,,,,,,,1,,,,10,METAR KMSO 010000Z AUTO 33003KT 10SM CLR M11/M17 A3035,,,,,,,,,-14.39,NNW,,,clear,,,,-17.09,91432.44,103663.44
KMSO,2019-01-01T00:05:00Z,102776.85,-11,,61.12,2.06,330,,,,,,,,1,,,,10,METAR KMSO 010005Z AUTO 33004KT 10SM CLR M11/M17 A3035,,,,,,,,,-15.37,NNW,,,clear,,,,-17.09,91432.44,103663.44
KMSO,2019-01-01T00:10:00Z,102810.71,-12,,66.23,3.09,330,,,,,,,,1,,,,10,METAR KMSO 010010Z AUTO 33006KT 10SM CLR M12/M17 A3036,,,,,,,,,-18.03,NNW,,,clear,,,,-17.08,91462.56,103746.85
KMSO,2019-01-01T00:15:00Z,102810.71,-12,,60.85,2.57,330,,,,,,,,1,,,,10,METAR KMSO 010015Z AUTO 33005KT 10SM CLR M12/M18 A3036,,,,,,,,,-17.34,NNW,,,clear,,,,-18.09,91462.56,103746.86
KMSO,2019-01-01T00:20:00Z,102810.71,-12,,60.85,2.06,340,,,,,,,,1,,,,10,METAR KMSO 010020Z AUTO 34004KT 10SM CLR M12/M18 A3036,,,,,,,,,-16.54,NNW,,,clear,,,,-18.09,91462.56,103746.86
KMSO,2019-01-01T00:25:00Z,102844.57,-12,,66.23,2.06,340,,,,,,,,1,,,,10,METAR KMSO 010025Z AUTO 34004KT 10SM CLR M12/M17 A3037,,,,,,,,,-16.54,NNW,,,clear,,,,-17.08,91492.68,103781.02
KMSO,2019-01-01T00:30:00Z,102844.57,-12,,66.23,1.54,360,,,,,,,,1,,,,10,METAR KMSO 010030Z AUTO 36003KT 10SM CLR M12/M17 A3037,,,,,,,,,-15.53,N,,,clear,,,,-17.08,91492.68,103781.02
KMSO,2019-01-01T00:35:00Z,102844.57,-11,,61.12,2.06,350,,,,,,,,1,,,,10,METAR KMSO 010035Z AUTO 35004KT 10SM CLR M11/M17 A3037,,,,,,,,,-15.37,N,,,clear,,,,-17.09,91492.68,103731.73
KMSO,2019-01-01T00:40:00Z,102844.57,-12,,66.23,2.57,350,,,,,,,,1,,,,10,METAR KMSO 010040Z AUTO 35005KT 10SM CLR M12/M17 A3037,,,,,,,,,-17.34,N,,,clear,,,,-17.08,91492.68,103781.02
KMSO,2019-01-01T00:45:00Z,102844.57,-12,,66.23,2.57,350,,,,,,,,1,,,,10,METAR KMSO 010045Z AUTO 35005KT 10SM CLR M12/M17 A3037,,,,,,,,,-17.34,N,,,clear,,,,-17.08,91492.68,103781.02
KMSO,2019-01-01T00:50:00Z,102844.57,-12,,60.85,1.54,10,,,,,,,,1,,,,10,METAR KMSO 010050Z AUTO 01003KT 10SM CLR M12/M18 A3037,,,,,,,,,-15.53,N,,,clear,,,,-18.09,91492.68,103781.03
KMSO,2019-01-01T00:53:00Z,102844.57,-12.2,-17.8,62.9,1.54,30,,103440,,,,,,1,,,,10,METAR KMSO 010053Z 03003KT 10SM CLR M12/M18 A3037 RMK AO2 SLP344 T11221178,,,,,,,,,-15.76,NNE,,,clear,,,,-17.89,91492.68,103790.93
KMSO,2019-01-01T00:55:00Z,102844.57,-12,,60.85,0,0,,,,,,,,1,,,,10,METAR KMSO 010055Z AUTO 00000KT 10SM CLR M12/M18 A3037,,,,,,,,,,N,,,clear,,,,-18.09,91492.68,103781.03
KMSO,2019-01-01T01:00:00Z,102844.57,-13,,65.98,0,0,,,,,,,,1,,,,10,METAR KMSO 010100Z AUTO 00000KT 10SM CLR M13/M18 A3037,,,,,,,,,,N,,,clear,,,,-18.08,91492.68,103830.71
