Date,PM2.5
1999-02-02 00:00,3.1
1999-02-05 00:00,5.3
1999-02-08 00:00,1.9
1999-02-11 00:00,12.5
1999-02-14 00:00,28.3
1999-02-17 00:00,5.3
1999-02-20 00:00,9.7
1999-02-23 00:00,10.8
1999-02-26 00:00,10.2
1999-03-01 00:00,4.4
1999-03-04 00:00,7.1
1999-03-07 00:00,8.4
1999-03-10 00:00,6.2
1999-03-13 00:00,9.8
1999-03-16 00:00,9.7
1999-03-19 00:00,14.7
1999-03-22 00:00,6.9
1999-03-25 00:00,10.7
1999-04-03 00:00,4.6
1999-04-06 00:00,7.6
1999-04-09 00:00,4.6
1999-04-12 00:00,6.3
1999-04-15 00:00,8.5
1999-04-21 00:00,5.2
1999-04-24 00:00,8
1999-04-27 00:00,10.6
1999-04-30 00:00,3.9
1999-05-04 00:00,2.8
1999-05-06 00:00,6.5
1999-05-09 00:00,3.9
1999-05-15 00:00,5.6
1999-05-18 00:00,3.9
1999-05-21 00:00,8.7
1999-05-24 00:00,14.5
1999-05-27 00:00,12.8
1999-06-05 00:00,6
1999-06-11 00:00,4.9
1999-06-14 00:00,5
1999-06-17 00:00,7.1
1999-06-20 00:00,5.8
1999-06-26 00:00,3.8
1999-06-29 00:00,4.5
1999-08-01 00:00,5
1999-08-04 00:00,10.3
1999-08-07 00:00,11.6
1999-08-08 00:00,3.4
1999-08-10 00:00,9.3
1999-08-13 00:00,7.2
1999-08-16 00:00,5.1
1999-08-19 00:00,7.3
1999-08-22 00:00,6.5
1999-08-25 00:00,8.9
1999-08-28 00:00,6.6
1999-08-31 00:00,1.9
1999-09-03 00:00,4.1
1999-09-18 00:00,12.9
1999-09-21 00:00,13.5
1999-09-24 00:00,3.9
1999-09-27 00:00,5.1
1999-09-30 00:00,10.9
1999-10-03 00:00,7.1
1999-10-06 00:00,18.2
1999-10-09 00:00,5.5
1999-10-12 00:00,6.5
1999-10-15 00:00,6.7
1999-10-18 00:00,13.1
1999-10-21 00:00,17.2
1999-10-24 00:00,13.5
1999-10-27 00:00,4.5
1999-10-30 00:00,7.7
1999-11-02 00:00,25.1
1999-11-05 00:00,29.2
1999-11-08 00:00,29.3
1999-11-11 00:00,89.4
1999-11-14 00:00,17.2
1999-11-17 00:00,22.5
1999-11-20 00:00,15.1
1999-11-23 00:00,10
1999-11-26 00:00,4.9
1999-11-29 00:00,22.8
1999-12-02 00:00,3.9
1999-12-05 00:00,18.3
1999-12-08 00:00,14
1999-12-11 00:00,16.6
1999-12-17 00:00,8.2
1999-12-20 00:00,5.5
1999-12-23 00:00,11.2
1999-12-26 00:00,10.1
1999-12-29 00:00,14.7
2000-01-01 00:00,25.4
2000-01-04 00:00,13.4
2000-01-07 00:00,15.3
2000-01-10 00:00,3.4
2000-01-13 00:00,8.5
2000-01-16 00:00,8.1
2000-01-19 00:00,24.4
2000-01-22 00:00,18.2
2000-01-25 00:00,21.7
2000-01-28 00:00,7.6
2000-01-31 00:00,26.4
2000-02-03 00:00,5.9
2000-02-06 00:00,32.8
2000-02-09 00:00,6.1
2000-02-12 00:00,17
2000-02-15 00:00,5
2000-02-18 00:00,11
2000-02-21 00:00,32.7
2000-02-24 00:00,4.1
2000-02-27 00:00,7.7
2000-03-01 00:00,8.3
2000-03-04 00:00,7.6
2000-03-07 00:00,6.9
2000-03-10 00:00,5.5
2000-03-13 00:00,5.2
2000-03-16 00:00,11.5
2000-03-19 00:00,1.4
2000-03-23 00:00,3.3
2000-03-25 00:00,6.7
2000-03-28 00:00,2.1
2000-03-31 00:00,7.6
2000-04-03 00:00,5.7
2000-04-06 00:00,2.5
2000-04-09 00:00,9.8
2000-04-15 00:00,4.9
2000-04-18 00:00,6.5
2000-04-21 00:00,5.1
2000-04-24 00:00,4
2000-04-27 00:00,7.2
2000-04-30 00:00,6.3
2000-05-03 00:00,5.5
2000-05-06 00:00,3.3
2000-05-09 00:00,3
2000-05-12 00:00,3.6
2000-05-15 00:00,8.9
2000-05-18 00:00,7.3
2000-05-21 00:00,7.1
2000-05-24 00:00,7.2
2000-05-27 00:00,3.9
2000-05-30 00:00,3.3
2000-06-02 00:00,5.3
2000-06-05 00:00,9
2000-06-08 00:00,6.5
2000-06-11 00:00,2
2000-06-14 00:00,6.4
2000-06-17 00:00,3.1
2000-06-20 00:00,4.6
2000-06-26 00:00,4.8
2000-06-29 00:00,10.1
2000-07-02 00:00,6.1
2000-07-05 00:00,7.5
2000-07-08 00:00,7.4
2000-07-11 00:00,6.2
2000-07-14 00:00,7.9
2000-07-17 00:00,7.5
2000-07-20 00:00,8.9
2000-07-23 00:00,9.1
2000-07-26 00:00,9.5
2000-07-29 00:00,10.7
2000-08-01 00:00,9.6
