Hour,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
0,891.9597168,364.8527832,115.1474304,186.0505524,648.5640869,574.6193237,7.355175018
1,887.2548218,259.8189697,115.5127869,161.7679138,505.1042786,582.1258545,6.911942005
2,666.0696411,212.9143829,110.6448517,154.3003235,379.7245483,605.0904541,5.766440868
3,705.2394409,242.4139252,138.6791382,150.6311188,453.3194275,609.5409546,5.904628754
4,687.4171143,198.1646271,121.8009491,138.266922,372.3497925,619.6584473,5.530808449
5,747.3024292,254.350235,121.9244385,121.3679352,451.4502258,618.7683105,6.313235283
6,759.3104248,223.3108063,107.2074738,115.895134,402.243988,656.3899536,5.452406406
7,839.0825806,354.4605408,120.1542892,121.3330536,410.4173889,662.1162109,7.016939163
8,1072.921753,536.2689209,153.8180695,131.2709045,449.9208984,649.9070435,9.227092743
9,1190.754395,611.9821167,163.6876984,153.3701019,503.8723145,625.0583496,13.68367481
10,1000.242065,422.8862915,95.38758087,156.464386,690.7056885,609.4222412,9.530700684
11,895.5410767,350.4734192,75.40029144,151.0316315,774.9888916,572.6907959,8.872846603
12,896.0325928,400.4536743,63.5057869,135.9672241,843.8936768,609.1849365,9.879680634
13,881.2508545,318.988678,49.10425186,120.2012787,855.3000488,640.5164185,6.932314396
14,820.6141357,237.669342,31.5179882,84.54153442,856.043396,640.3087158,5.862715244
15,802.4968872,231.351593,33.1358223,73.28974152,997.7189941,636.1549683,4.304458618
16,747.3024292,247.8160553,38.86618042,54.39722443,818.6173096,676.3875122,4.455625057
17,805.1653442,274.9016724,45.09568024,60.87388611,782.083252,670.394165,4.340095997
18,862.8527222,264.6426086,61.18400574,70.04042816,731.2753906,691.2521973,5.156723022
19,882.3041992,292.5023499,69.00869751,88.10479736,814.1992188,554.7700806,5.678624153
20,922.5062866,321.822937,78.41057587,125.8136139,677.0690918,563.1073608,5.813779831
21,857.0593872,259.2695923,84.09667969,142.2849731,576.8129272,593.9938965,5.675911427
22,896.6645508,275.222168,91.74281311,170.5274963,595.3773193,555.5266724,6.067496777
23,928.1240845,330.1550293,111.0874023,167.6205444,558.864563,536.0483398,6.910931587
