Hour,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
0,1611.664917,909.3747559,249.0255432,362.4371338,1140.074341,766.0206299,17.14847565
1,1459.1427,842.0352173,257.701355,275.9783325,1136.718262,708.2828369,17.2548542
2,1136.894043,480.7824707,240.8231506,226.9091949,1009.571289,743.1450195,15.03151131
3,1231.202148,549.2456665,251.094162,229.9194946,1005.705505,754.0636597,13.74643993
4,1122.217651,466.1991882,249.5092621,217.749115,851.4129639,747.0615234,12.87518692
5,1241.700439,544.788269,236.053009,199.5839539,956.8731079,755.1169434,15.40011883
6,1210.978149,692.8561401,223.2039642,203.5632477,782.5930176,791.1511841,13.6166563
7,1289.556641,1040.599365,267.9054565,207.2324524,835.3549194,818.5366211,18.50960922
8,1619.951172,1670.25293,304.548645,256.004425,922.1445923,825.093689,25.44931602
9,1904.209717,2188.53418,303.4937744,266.9990845,1004.048767,824.7524414,34.16716766
10,1836.234863,1486.380249,218.1816559,251.7667542,1199.080933,747.6845703,29.39921379
11,1443.13208,949.6203003,158.0993652,239.7126465,1394.729248,730.4611816,26.13387299
12,1350.439087,856.6850586,133.7700653,212.3744965,1389.525269,735.4308472,22.2408905
13,1223.056396,661.0176392,93.59375763,183.4730682,1355.41272,799.9038086,18.97608566
14,1219.54541,540.1851807,58.71710968,151.6130066,1434.322021,800.3192139,15.69585609
15,1246.159424,509.1166382,63.54334641,143.6157074,1684.983643,789.9346924,12.54540825
16,1119.900269,530.7668457,70.07336426,122.6482773,1505.11731,814.7981567,10.75503063
17,1258.799316,677.7235107,94.01005554,133.783783,1347.447388,830.4639282,11.01513004
18,1415.394409,938.4248047,117.2932358,152.4398804,1272.488892,855.5944214,12.68370247
19,1588.667236,1011.008301,124.7957916,203.2337952,1372.277832,771.0645752,14.18047142
20,1589.018311,930.4755859,187.7185669,260.2420654,1288.610596,760.4871826,14.77566814
21,1629.220337,1063.073608,212.0838928,363.554718,1106.620239,778.0518799,17.19262314
22,1661.031006,1076.932739,225.8488922,424.9040222,1183.532837,737.3890991,17.91228485
23,1725.916016,863.0111694,258.3497314,385.8347473,1145.25708,730.9506226,17.34634209
