Hour,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
0,2286.322754,1618.89502,612.1385498,575.9485474,1757.881836,919.0585938,35.25862885
1,2213.537598,1639.538208,496.2192078,495.9625549,1708.051147,887.9644165,32.75337601
2,1781.321289,1113.807129,476.5519714,373.5480957,1766.20813,892.2665405,31.51085663
3,1850.279297,1014.337769,424.6309204,370.046875,1846.285645,919.5333252,26.29929352
4,1660.679932,1060.118652,452.696106,344.2720032,1694.457031,943.2693481,26.60566902
5,1930.823853,1204.619751,407.5571594,347.4631653,1723.896729,938.0474854,29.77898788
6,1817.274902,1233.420044,389.1043701,310.590271,1500.529297,944.3375244,27.20565414
7,1847.189575,1805.597778,438.8847656,338.8844604,1382.345947,1031.389404,31.49383545
8,2374.591797,2870.37793,522.3547363,410.0205078,1539.909668,1024.78772,41.11112976
9,2671.244385,3974.612549,546.0098877,445.3430481,1697.345825,1068.091187,58.81544495
10,2632.060547,3027.82251,400.1369324,413.024353,1919.162598,982.7008057,62.30949783
11,2410.15918,2145.541504,327.0357971,383.4833679,2155.465576,922.2630005,55.94318008
12,2306.125488,1942.274658,259.1473389,354.5108948,2113.982422,923.9986572,41.99461365
13,2114.594727,1587.639282,201.1130676,323.238678,2164.833008,1008.053833,35.47032166
14,1907.650513,1441.015625,152.1611328,263.3945007,2152.619385,1034.32666,29.49282455
15,1896.976929,1480.137329,168.1439667,262.6451721,2547.229492,1035.810181,23.73446846
16,1854.492432,1421.45459,165.7563171,248.924408,2207.208008,1094.645752,21.07071114
17,2058.557617,2236.687256,209.8557587,265.8233948,2259.502686,1125.294922,25.1727314
18,2464.335449,2605.76416,258.0255127,344.2784729,2096.522705,1112.314331,26.60460472
19,2523.743164,2620.705566,319.3325195,537.8934326,2442.172852,1012.548828,29.16145325
20,2613.732666,2205.88916,413.0322876,639.4619751,2019.737305,998.3666382,29.78962517
21,2365.287354,2101.758545,425.0117188,720.8303833,2135.669189,996.5567017,30.43960762
22,2505.274902,2228.862793,494.536499,738.8922119,2162.432617,947.2599487,37.34367752
23,2499.937988,1896.785156,528.6222534,769.7445068,2033.883667,916.2844849,37.84526062
