"Date_Time","altimeter_set_1","air_temp_set_1","dew_point_temperature_set_1","relative_humidity_set_1","wind_speed_set_1","wind_direction_set_1","wind_gust_set_1","sea_level_pressure_set_1","weather_cond_code_set_1","cloud_layer_3_code_set_1","pressure_tendency_set_1","precip_accum_one_hour_set_1","precip_accum_three_hour_set_1","cloud_layer_1_code_set_1","cloud_layer_2_code_set_1","precip_accum_six_hour_set_1","precip_accum_24_hour_set_1","visibility_set_1","air_temp_high_6_hour_set_1","air_temp_low_6_hour_set_1","peak_wind_speed_set_1","ceiling_set_1","pressure_change_code_set_1","air_temp_high_24_hour_set_1","air_temp_low_24_hour_set_1","peak_wind_direction_set_1","wind_chill_set_1d","heat_index_set_1d","dew_point_temperature_set_1d","pressure_set_1d","temp_flag","wind_flag","spike_flag","dT_mt_over_valley","SBI_flag_1","SBI_flag_2","calm_flag","Event_ID_1","Event_ID_2","event_hours_1","Event_Start_1","Event_Stop_1","event_hours_2","Event_Start_2","Event_Stop_2","ozone","ws","wd","sig","tempamb","pm25"
2019-01-01,102776.85,-12,-16.1,71.81,3.09,140,NA,103390,NA,NA,NA,NA,NA,504,NA,NA,NA,10,NA,NA,NA,1524,NA,NA,NA,NA,-18.03,NA,-17.07,91432.44,0,0,0,-3.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,235,37,-13.5,14.4
2019-01-01 01:00:00,102810.71,-12,-16.7,66.23,4.63,130,NA,103380,NA,NA,5003,NA,NA,504,NA,NA,NA,10,NA,NA,NA,1524,NA,NA,NA,NA,-19.61,NA,-17.08,91462.56,0,0,0,-3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,347,54,-13.2,13.7
2019-01-01 02:00:00,102844.57,-12,-16.7,66.23,3.6,150,NA,103380,NA,NA,NA,NA,NA,494,NA,NA,NA,10,NA,NA,NA,1493.52,NA,NA,NA,NA,-18.61,NA,-17.08,91492.68,0,0,0,-3.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,320,57,-13.3,11
2019-01-01 03:00:00,102776.85,-12,-17.2,66.23,5.66,150,NA,103360,NA,NA,NA,NA,NA,484,NA,NA,NA,10,NA,NA,NA,1463.04,NA,NA,NA,NA,-20.44,NA,-17.08,91432.44,0,0,0,-4.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,312,65,-13.2,9.7
2019-01-01 04:00:00,102709.12,-12,-17.2,66.23,5.66,150,NA,103290,NA,NA,8014,NA,NA,464,NA,NA,NA,10,-11.7,-13.3,NA,1402.08,NA,NA,NA,NA,-20.44,NA,-17.08,91372.18,0,0,0,-3.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,318,60,-13.4,10.7
2019-01-01 05:00:00,102709.12,-12,-17.8,60.85,3.6,160,NA,103380,NA,NA,NA,NA,NA,464,NA,NA,NA,10,NA,NA,NA,1402.08,NA,NA,NA,NA,-18.61,NA,-18.09,91372.18,0,0,0,-4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,311,64,-13.3,9.5
2019-01-01 06:00:00,102709.12,-13,-16.7,71.81,2.06,150,NA,103360,NA,NA,NA,NA,NA,456,604,NA,NA,10,NA,NA,NA,1524,NA,NA,NA,NA,-18.12,NA,-17.07,91372.18,0,0,0,-3.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,233,31,-14.1,5.2
2019-01-01 07:00:00,102742.98,-12,-15.6,72.03,1.54,140,NA,103450,20,NA,1007,0.025,0.025,504,654,NA,NA,5,NA,NA,NA,1524,NA,NA,NA,NA,-16.605,NA,-16.07,91402.31,0,0,0,-4.2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,231,43,-14,4.2
2019-01-01 08:00:00,102742.98,-13,-15.6,78.1,1.54,200,NA,103430,20,NA,NA,0.025,NA,504,NA,NA,NA,4,NA,NA,NA,1524,NA,NA,NA,NA,-16.67,NA,-16.05,91402.31,0,0,0,-2.1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,139,54,-13.7,6.1
2019-01-01 09:00:00,102776.85,-12,-15.6,72.03,0,0,NA,103450,20,654,NA,0.025,NA,554,503,NA,NA,9,NA,NA,NA,1828.8,NA,NA,NA,NA,-15.645,NA,-16.07,91432.44,0,0,0,-2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,134,48,-13.1,6.9
