Species,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
Acetaldehyde,0.996,0.000,0.000,0.000,0.000,0.000,0.004
Acetic_Acid,0.000,0.000,0.000,0.172,0.776,0.043,0.009
Acetone,0.047,0.023,0.043,0.000,0.443,0.421,0.023
Acetonitrile,0.067,0.000,0.000,0.002,0.276,0.644,0.010
Benzene,0.049,0.478,0.016,0.124,0.000,0.323,0.010
Butenes,0.000,0.621,0.065,0.051,0.082,0.170,0.011
C10_Aromatics,0.056,0.823,0.101,0.012,0.000,0.009,0.000
C8_Aromatics,0.027,0.917,0.006,0.014,0.023,0.012,0.000
C9_Aromatics,0.000,0.968,0.000,0.000,0.032,0.000,0.000
D5_siloxane,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Formaldehyde,0.630,0.039,0.005,0.059,0.236,0.028,0.003
Formic_Acid,0.000,0.000,0.000,0.058,0.932,0.000,0.010
Furaldehydes,0.000,0.014,0.000,0.924,0.062,0.000,0.000
Furan,0.048,0.012,0.051,0.814,0.000,0.076,0.000
Isoprene,0.077,0.454,0.124,0.078,0.206,0.056,0.006
MACR_MVK,0.022,0.234,0.015,0.414,0.312,0.000,0.003
MEK,0.000,0.041,0.029,0.090,0.340,0.448,0.052
Methylfurans,0.000,0.077,0.056,0.830,0.034,0.000,0.002
Methylfurfurals,0.000,0.000,0.013,0.971,0.000,0.016,0.000
Monoterpenes,0.024,0.000,0.861,0.059,0.053,0.000,0.003
Propyne,0.072,0.525,0.046,0.079,0.156,0.113,0.009
Toluene,0.025,0.815,0.049,0.039,0.001,0.069,0.001
